d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,2B,b,K,r34_min,r5_min,da_max,Da_min,Da_max,Ca_min,ra_max,rc_max,e,Y1,Y2,Y0
100,215,155.0,1057.0,1560,166.0,1900,3200,26.0,32320/DF,100,146,18,12.0,3.0,1.0,123,177,202,8,3.0,1.0,0.35,1.9,2.9,1.8
105,160,70.0,426.0,670,73.5,2600,3800,5.05,32021 X/DF,105,70,10,7.5,2.0,0.6,116,143,149,6,2.0,0.6,0.44,1.5,2.3,1.4
105,190,78.0,571.0,710,80.0,2200,3400,9.0,30221/DF,105,72,10,4.0,2.5,1.0,123,165,178,5,2.5,1.0,0.43,1.6,2.3,1.6
105,190,106.0,760.0,1020,110.0,2200,3400,12.5,32221/DF,105,100,11,7.5,2.5,1.0,121,161,178,6,2.5,1.0,0.43,1.6,2.3,1.6
110,170,76.0,494.0,780,80.0,2400,3600,6.3,32022 X/DF,110,76,10,7.5,2.0,0.6,123,152,159,7,2.0,0.6,0.43,1.6,2.3,1.6
110,170,76.0,494.0,780,80.0,2400,3600,6.3,32022 X/DFC200,110,76,10,7.5,2.0,0.6,123,152,159,7,2.0,0.6,0.43,1.6,2.3,1.6
110,180,112.0,781.0,1250,132.0,2200,3400,11.5,33122/DF,110,112,15,7.5,2.0,0.6,122,155,169,9,2.0,0.6,0.43,1.6,2.3,1.6
110,200,82.0,561.0,800,86.5,2200,3200,10.5,30222/DF,110,76,10,7.5,2.5,1.0,129,174,188,6,2.5,1.0,0.43,1.6,2.3,1.6
110,200,112.0,842.0,1140,122.0,2200,3200,14.5,32222/DF,110,106,11,7.5,2.5,1.0,127,170,188,6,2.5,1.0,0.43,1.6,2.3,1.6
110,240,126.0,841.0,1160,122.0,1500,2800,26.0,31322 X/DF,110,114,13,10.0,3.0,1.0,136,188,227,8,3.0,1.0,0.83,0.81,1.2,0.8
110,240,169.0,1158.0,1660,173.0,1700,2800,35.0,32322/DF,110,160,11,8.0,3.0,1.0,138,198,227,9,3.0,1.0,0.35,1.9,2.9,1.8
120,180,76.0,513.0,830,85.0,2200,3400,6.75,32024 X/DF,120,76,10,7.5,2.0,0.6,132,161,169,7,2.0,0.6,0.46,1.5,2.2,1.4
120,180,96.0,611.0,1080,112.0,2200,3400,8.6,33024/DF,120,96,10,7.5,2.0,0.6,132,160,169,6,2.0,0.6,0.3,2.3,3.4,2.2
120,215,87.0,716.0,915,98.0,2000,3000,12.5,30224/DF,120,80,10,7.5,2.5,1.0,141,187,203,6,2.5,1.0,0.43,1.6,2.3,1.6
120,215,123.0,983.0,1400,143.0,2000,3000,18.5,32224/DF,120,116,10,7.5,2.5,1.0,137,181,203,7,2.5,1.0,0.43,1.6,2.3,1.6
120,260,119.0,1031.0,1400,146.0,1600,2600,29.0,30324/DF,120,110,15,8.0,3.0,1.0,153,221,246,8,3.0,1.0,0.35,1.9,2.9,1.8
120,260,136.0,992.0,1400,146.0,1400,2400,32.5,31324 X/DF,120,124,24,14.0,3.0,1.0,146,203,246,9,3.0,1.0,0.83,0.81,1.2,0.8
