d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_zylindrische_Bohrung,Kurzzeichen_Lager_kegelige_Bohrung,d,d2,D1,b,K,r12_min,da_min,da_max,Da_max,ra_max,e,Y1,Y2,Y0,zulässige_Drehbeschleunigungen_bei_Ölschmierung,zulässige_Linearbeschleunigungen_bei_Ölschmierung
85,150,44.0,291.0,325.0,34.5,-,1900,3.0, BS2-2217-2RS/VT143, BS2-2217-2RSK/VT143,85,98.2,137.0,6,3,2.0,96.0,98,139.0,2.0,0.22,3.0,4.6,2.8,-,-
85,180,41.0,331.0,375.0,39.0,3800,5300,5.2,21317 E,21317 EK,85,106.0,141.0,6,3,3.0,99.0,-,166.0,2.5,0.24,2.8,4.2,2.8,-,-
85,180,60.0,577.0,620.0,61.0,2800,3800,7.65,22317 E,22317 EK,85,108.0,154.0,8.3,4.5,3.0,99.0,-,166.0,2.5,0.33,2.0,3.0,2.0,-,-
85,180,60.0,577.0,620.0,61.0,2800,3800,7.65,22317 EJA/VA405,22317 EKJA/VA405,85,108.0,154.0,8.3,4.5,3.0,99.0,-,166.0,2.5,0.33,2.0,3.0,2.0,74 g,21 g
85,180,60.0,577.0,620.0,61.0,2800,3800,7.65,22317 EJA/VA406,-,85,108.0,154.0,8.3,4.5,3.0,99.0,-,166.0,2.5,0.33,2.0,3.0,2.0,74 g,21 g
90,160,40.0,331.0,375.0,39.0,3800,5300,3.4,22218 E,22218 EK,90,106.0,141.0,6,3,2.0,101.0,-,149.0,2.0,0.24,2.8,4.2,2.8,-,-
90,160,48.0,331.0,375.0,39.0,-,1800,3.7, BS2-2218-2RS/VT143, BS2-2218-2RSK/VT143,90,102.0,146.0,6,3,2.0,101.0,102,149.0,2.0,0.24,2.8,4.2,2.8,-,-
90,160,52.4,372.0,440.0,48.0,2800,3800,4.65,23218 CC/W33,23218 CCK/W33,90,106.0,137.0,5.5,3,2.0,101.0,-,149.0,2.0,0.31,2.2,3.3,2.2,-,-
90,190,43.0,393.0,450.0,45.5,3600,4800,6.1,21318 E,21318 EK,90,112.0,150.0,8.3,4.5,3.0,104.0,-,176.0,2.5,0.24,2.8,4.2,2.8,-,-
90,190,64.0,637.0,695.0,67.0,2600,3600,9.05,22318 E,22318 EK,90,113.0,161.0,11.1,6,3.0,104.0,-,176.0,2.5,0.33,2.0,3.0,2.0,-,-
90,190,64.0,637.0,695.0,67.0,2600,3600,9.05,22318 EJA/VA405,22318 EKJA/VA405,90,113.0,161.0,11.1,6,3.0,104.0,-,176.0,2.5,0.33,2.0,3.0,2.0,68 g,21 g
90,190,73.0,637.0,695.0,67.0,-,1700,9.8, BS2-2318-2RS5/VT143, BS2-2318-2RS5K/VT143,90,109.0,165.0,11.1,6,3.0,104.0,109,176.0,2.5,0.33,2.0,3.0,2.0,-,-
95,170,43.0,393.0,450.0,45.5,3600,4800,4.15,22219 E,22219 EK,95,112.0,150.0,8.3,4.5,2.1,107.0,-,158.0,2.0,0.24,2.8,4.2,2.8,-,-
95,170,51.0,393.0,450.0,45.5,-,1700,4.65,BS2-2219-2RS/VT143,-,95,109.0,155.0,8.3,4.5,2.1,107.0,109,158.0,2.0,0.24,2.8,4.2,2.8,-,-
95,200,45.0,433.0,490.0,49.0,3400,4500,7.05,21319 E,21319 EK,95,118.0,159.0,8.3,4.5,3.0,109.0,-,186.0,2.5,0.24,2.8,4.2,2.8,-,-
95,200,67.0,699.0,765.0,73.5,2600,3400,10.5,22319 E,22319 EK,95,118.0,168.0,11.1,6,3.0,109.0,-,186.0,2.5,0.33,2.0,3.0,2.0,-,-
95,200,67.0,699.0,765.0,73.5,2600,3400,10.5,22319 EJA/VA405,22319 EKJA/VA405,95,118.0,168.0,11.1,6,3.0,109.0,-,186.0,2.5,0.33,2.0,3.0,2.0,64 g,20 g
100,150,50.0,296.0,415.0,45.5,-,1700,3.15,24020-2RS5/VT143,-,100,108.0,138.0,6,3,1.5,107.0,108,143.0,1.5,0.28,2.4,3.6,2.5,-,-
100,150,50.0,296.0,415.0,45.5,2800,4000,3.15,24020 CC/W33,24020 CCK30/W33,100,111.0,132.0,6,3,1.5,107.0,-,143.0,1.5,0.28,2.4,3.6,2.5,-,-
100,165,52.0,385.0,490.0,53.0,3000,4000,4.55,23120 CC/W33,23120 CCK/W33,100,115.0,144.0,6,3,2.0,111.0,-,154.0,2.0,0.3,2.3,3.4,2.2,-,-
100,165,52.0,386.0,490.0,53.0,-,1700,4.55,23120-2RS5/VT143,-,100,112.0,149.0,6,3,2.0,111.0,112,154.0,2.0,0.27,2.5,3.7,2.5,-,-
