d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager,Kurzzeichen_was_auch_immer,Kurzzeichen_Sprengring,d,d1,D1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr,f0
60,95,18,30.7,23.2,0.98,15000,9500,0.43,6012 N,6012 NR,SP 95,60,71.3,-,86.5,91.82,101.6,2.7,2.46,2.87,1.1,0.6,66.0,-,89.0,103,3.0,5.33,1.0,0.025,16
60,110,22,55.3,36.0,1.53,13000,6300,0.83,6212-ZNR,6212-2ZNR,SP 110,60,75.5,-,98,106.81,116.6,2.7,2.46,3.28,1.5,0.6,69.0,75,101.0,118,3.0,5.74,1.5,0.025,14
60,110,22,55.3,36.0,1.53,13000,8000,0.8,6212 N,6212 NR,SP 110,60,75.5,-,98,106.81,116.6,2.7,2.46,3.28,1.5,0.6,69.0,-,101.0,118,3.0,5.74,1.5,0.025,14
60,130,31,85.2,52.0,2.2,11000,5600,1.8,6312-ZNR,6312-2ZNR,SP 130,60,81.8,-,113,125.22,139.7,3.1,2.82,4.06,2.1,0.6,72.0,81,118.0,141,3.5,6.88,2.0,0.03,13
60,130,31,85.2,52.0,2.2,11000,7000,1.75,6312 N,6312 NR,SP 130,60,81.8,-,113,125.22,139.7,3.1,2.82,4.06,2.1,0.6,72.0,-,118.0,141,3.5,6.88,2.0,0.03,13
60,150,35,108.0,69.5,2.9,10000,6300,2.9,6412 N,6412 NR,SP 150,60,88.1,122,-,145.24,159.7,3.1,2.82,4.9,2.1,0.6,74.0,-,136.0,162,3.5,7.72,2.0,0.035,12
65,100,18,31.9,25.0,1.06,14000,9000,0.45,6013 N,6013 NR,SP 100,65,76.3,-,91.5,96.8,106.5,2.7,2.46,2.87,1.1,0.6,71.0,-,94.0,108,3.0,5.33,1.0,0.025,16
65,120,23,58.5,40.5,1.73,12000,6000,1.1,6213-ZNR,6213-2ZNR,SP 120,65,83.3,-,106,115.21,129.7,3.1,2.82,4.06,1.5,0.6,74.0,83,111.0,131,3.5,6.88,1.5,0.025,15
65,120,23,58.5,40.5,1.73,12000,7500,1.05,6213 N,6213 NR,SP 120,65,83.3,-,106,115.21,129.7,3.1,2.82,4.06,1.5,0.6,74.0,-,111.0,131,3.5,6.88,1.5,0.025,15
65,140,33,97.5,60.0,2.5,10000,5300,2.25,6313-ZNR,6313-2ZNR,SP 140,65,88.3,-,122,135.23,149.7,3.1,2.82,4.9,2.1,0.6,77.0,88,128.0,151,3.5,7.72,2.0,0.03,13
65,140,33,97.5,60.0,2.5,10000,6700,2.15,6313 N,6313 NR,SP 140,65,88.3,-,122,135.23,149.7,3.1,2.82,4.9,2.1,0.6,77.0,-,128.0,151,3.5,7.72,2.0,0.03,13
65,160,37,119.0,78.0,3.15,9500,6000,3.4,6413 N,6413 NR,SP 160,65,94.0,131,-,155.22,169.7,3.1,2.82,4.9,2.1,0.6,79.0,-,146.0,172,3.5,7.72,2.0,0.035,12
70,110,20,39.7,31.0,1.32,13000,8000,0.63,6014 N,6014 NR,SP 110,70,82.8,-,99.9,106.81,116.6,2.7,2.46,2.87,1.1,0.6,76.0,-,104.0,118,3.0,5.33,1.0,0.025,16
70,125,24,63.7,45.0,1.9,11000,5600,1.15,6214-ZNR,6214-2ZNR,SP 125,70,87.0,-,111,120.22,134.7,3.1,2.82,4.06,1.5,0.6,79.0,87,116.0,136,3.5,6.88,1.5,0.025,15
70,125,24,63.7,45.0,1.9,11000,7000,1.15,6214 N,6214 NR,SP 125,70,87.0,-,111,120.22,134.7,3.1,2.82,4.06,1.5,0.6,79.0,-,116.0,136,3.5,6.88,1.5,0.025,15
70,150,35,111.0,68.0,2.75,9500,5000,2.65,6314-ZNR,6314-2ZNR,SP 150,70,94.9,-,130,145.25,159.7,3.1,2.82,4.9,2.1,0.6,82.0,94,138.0,162,3.5,7.72,2.0,0.03,13
