d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,E_F,r12_min,r34_min,s_max,da_min,das,db_max,Da_max,Db_max,ra_max,rb_max,kr
260,320,28,270.0,550.0,50.0,800,1000,4.55,NCF 1852 V,260,283.0,299.0,307.2,2.0,1.1,1.8,269,279.0,-,311,313,2.0,1,0.1
260,360,60,737.0,1430.0,143.0,750,950,18.0, NCF 2952 CV,260,291.0,323.0,333.7,2.1,1.5,3.5,271,287.0,-,348,350,2.0,1.5,0.2
260,400,104,1540.0,2550.0,250.0,700,900,46.5,NCF 3052 CV,260,304.0,358.0,375.97,4.0,4,11.0,277,295.0,-,384,384,3.0,3,0.3
260,540,165,3580.0,5000.0,430.0,430,530,177.0,NJG 2352 VH,260,349.0,456.0,315.9,6.0,-,11.0,286,332.0,308,514,-,5.0,-,0.35
280,350,33,341.0,695.0,64.0,750,950,7.1,NCF 1856 V,280,307.0,325.0,334.0,2.0,1.1,2.5,290,303.0,-,341,343,2.0,1,0.1
280,380,60,880.0,1730.0,166.0,700,900,19.5, NCF 2956 CV,280,314.0,348.0,359.1,2.1,1.5,3.0,291,309.0,-,368,370,2.0,1.5,0.2
280,420,106,1570.0,2650.0,260.0,670,850,50.0,NCF 3056 CV,280,319.0,373.0,390.3,4.0,4,11.0,295,310.0,-,404,404,3.0,3,0.3
300,380,38,418.0,850.0,75.0,670,850,10.0,NCF 1860 V,300,331.0,353.0,363.0,2.1,1.5,3.0,311,326.0,-,369,372,2.0,1.5,0.1
300,420,72,1120.0,2200.0,208.0,630,800,31.0, NCF 2960 CV,300,341.0,375.0,390.5,3.0,3,5.0,314,334.0,-,405,405,2.5,2.5,0.2
300,460,118,1900.0,3250.0,300.0,600,750,65.5,NCF 3060 CV,300,355.0,413.0,433.0,4.0,4,14.0,315,344.0,-,445,445,3.0,3,0.3
320,400,38,440.0,900.0,80.0,630,800,10.5,NCF 1864 V,320,351.0,373.0,383.0,2.1,1.5,3.0,331,346.0,-,389,392,2.0,1.5,0.1
320,440,72,1140.0,2360.0,220.0,600,750,33.0, NCF 2964 V,320,359.0,401.0,411.0,3.0,3,5.0,333,353.0,-,427,427,2.5,2.5,0.2
320,480,121,1980.0,3450.0,310.0,560,700,71.0,NCF 3064 CV,320,368.0,434.0,449.5,4.0,4,14.0,335,359.0,-,465,465,3.0,3,0.3
340,420,38,446.0,950.0,83.0,600,750,11.0,NCF 1868 V,340,371.0,393.0,403.0,2.1,1.5,3.0,351,366.0,-,409,412,2.0,1.5,0.1
340,460,72,1190.0,2500.0,228.0,560,700,35.0,NCF 2968 V,340,378.0,421.0,431.0,3.0,3,5.0,353,373.0,-,447,447,2.5,2.5,0.2
340,520,133,2380.0,4150.0,355.0,530,670,95.0,NCF 3068 CV,340,395.0,468.0,485.65,5.0,5,14.0,358,384.0,-,502,502,4.0,4,0.3
360,440,38,402.0,900.0,76.5,560,700,11.5, NCF 1872 V,360,388.0,413.0,418.9,2.1,2.1,3.0,371,384.0,-,429,433,2.0,2,0.1
360,480,72,1230.0,2600.0,240.0,530,670,36.5, NCF 2972 CV,360,404.0,437.0,451.5,3.0,3,5.0,373,396.0,-,467,467,2.5,2.5,0.2
360,540,134,2420.0,4300.0,365.0,500,630,105.0,NCF 3072 CV,360,412.0,486.0,503.45,5.0,5,14.0,378,402.0,-,522,522,4.0,4,0.3
380,480,46,627.0,1290.0,114.0,530,670,19.5, NCF 1876 V,380,416.0,448.0,458.0,2.1,2.1,3.5,391,411.0,-,469,473,2.0,2,0.1
380,520,82,1570.0,3250.0,300.0,500,630,52.0, NCF 2976 V,380,427.0,474.0,488.0,4.0,4,5.0,395,420.0,-,505,505,3.0,3,0.2
380,560,135,2700.0,5100.0,425.0,480,600,110.0,NCF 3076 V,380,431.0,504.0,520.5,5.0,5,14.0,398,420.0,-,542,542,4.0,4,0.3
400,500,46,627.0,1340.0,118.0,500,630,20.5, NCF 1880 V,400,433.0,465.0,475.0,2.1,2.1,3.5,411,428.0,-,489,493,2.0,2,0.1
400,540,82,1650.0,3450.0,310.0,480,600,54.5, NCF 2980 CV,400,449.0,499.0,511.0,4.0,4,5.0,415,442.0,-,525,525,3.0,3,0.2
400,600,148,2970.0,5500.0,450.0,450,560,145.0,NCF 3080 CV,400,460.0,540.0,558.0,5.0,5,14.0,418,449.0,-,582,582,4.0,4,0.3
420,520,46,660.0,1430.0,122.0,480,600,20.5, NCF 1884 V,420,457.0,489.0,499.0,2.1,2.1,3.5,431,452.0,-,509,513,2.0,2,0.1
420,560,82,1650.0,3600.0,315.0,450,560,57.0, NCF 2984 V,420,462.0,512.0,524.0,4.0,4,5.0,435,455.0,-,545,545,3.0,3,0.2
420,620,150,3030.0,5700.0,455.0,430,530,150.0,NCF 3084 CV,420,480.0,559.0,577.6,5.0,5,15.0,438,469.0,-,602,602,4.0,4,0.3
440,540,46,671.0,1460.0,125.0,450,560,22.0, NCF 1888 V,440,474.0,506.0,516.0,2.1,2.1,3.5,451,469.0,-,529,533,2.0,2,0.1
