d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Universallager,Kurzzeichen_Lager_der_Grundausführung_mit_Dichtungen,d,d1,d2,D1_D2,D5,r12_min,r34_min,a,da_min,da_max,Da_max,Db_max,ra_max,rb_max,A,kr
40,90,23,53.0,35.5,1.5,9500,10000,0.64,7308 BECBY,-,40,59.5,49.5,71.6,-,1.5,1.0,39.0,49.0,-,81.0,84.0,1.5,1.0,0.0189,0.1
40,90,23,56.0,36.0,1.53,10000,15000,0.68,7308 ACCBM,-,40,59.7,49.5,71.4,-,1.5,1.0,26.0,49.0,-,81.0,84.0,1.5,1.0,0.00707,0.1
45,85,19,35.8,26.0,1.12,9500,7500,0.52,-,7209 BE-2RZP,45,60.8,52.6,71.8,79.9,1.1,0.6,37.0,52.0,60,78.0,80.0,1.0,0.6,0.012,0.095
45,85,19,38.0,28.5,1.22,9500,10000,0.42,7209 BECBP,-,45,60.8,52.6,70.2,-,1.1,0.6,37.0,52.0,-,78.0,80.0,1.0,0.6,0.012,0.095
45,85,19,38.0,28.5,1.22,9500,10000,0.42,7209 BEGAPH,-,45,60.8,52.6,70.2,-,1.1,0.6,37.0,52.0,-,78.0,80.0,1.0,0.6,0.012,0.095
45,85,19,38.0,28.5,1.22,9500,12000,0.42,7209 BECBM,-,45,60.8,52.6,70.2,-,1.1,0.6,37.0,52.0,-,78.0,80.0,1.0,0.6,0.012,0.095
45,85,19,40.0,30.5,1.29,9500,10000,0.42,7209 BECBY,-,45,60.8,52.6,70.2,-,1.1,0.6,37.0,52.0,-,78.0,80.0,1.0,0.6,0.0128,0.095
45,85,19,44.0,32.0,1.37,10000,15000,0.42,7209 ACCBM,-,45,60.6,52.6,70.1,-,1.1,0.6,24.0,52.0,-,78.0,80.0,1.0,0.6,0.00496,0.095
45,100,25,55.9,37.5,1.6,8500,6700,0.85,-,7309 BE-2RZP,45,66.5,55.2,81.4,90.8,1.5,1.0,43.0,54.0,66,91.0,94.0,1.5,1.0,0.0268,0.1
45,100,25,55.9,37.5,1.6,8500,8000,0.82,-,7309 BEP,45,66.5,55.2,79.9,-,1.5,1.0,43.0,54.0,-,91.0,94.0,1.5,1.0,0.0268,0.1
45,100,25,61.0,40.5,1.73,8500,9000,0.82,7309 BECBP,-,45,66.5,55.2,79.9,-,1.5,1.0,43.0,54.0,-,91.0,94.0,1.5,1.0,0.0268,0.1
45,100,25,61.0,40.5,1.73,8500,9000,0.82,7309 BEGAPH,-,45,66.5,55.2,79.9,-,1.5,1.0,43.0,54.0,-,91.0,94.0,1.5,1.0,0.0268,0.1
45,100,25,61.0,40.5,1.73,8500,11000,0.91,7309 BECBM,-,45,66.5,55.2,79.9,-,1.5,1.0,43.0,54.0,-,91.0,94.0,1.5,1.0,0.0268,0.1
45,100,25,64.0,45.0,1.9,8500,9000,0.87,7309 BECBY,-,45,66.5,55.2,79.9,-,1.5,1.0,43.0,54.0,-,91.0,94.0,1.5,1.0,0.0292,0.1
45,100,25,68.0,45.5,1.93,9000,13000,0.91,7309 ACCBM,-,45,66.3,55.2,79.6,-,1.5,1.0,29.0,54.0,-,91.0,94.0,1.5,1.0,0.0109,0.1
50,90,20,37.7,28.5,1.22,9000,7000,0.55,-,7210 BE-2RZP,50,65.7,57.6,76.8,84.9,1.1,0.6,39.0,57.0,65,83.0,85.0,1.0,0.6,0.014,0.095
50,90,20,37.7,28.5,1.22,9000,8500,0.47,-,7210 BEP,50,65.7,57.6,75.2,-,1.1,0.6,39.0,57.0,-,83.0,85.0,1.0,0.6,0.014,0.095
50,90,20,40.0,31.0,1.32,9000,9000,0.47,7210 BECBP,-,50,65.7,57.6,75.2,-,1.1,0.6,39.0,57.0,-,83.0,85.0,1.0,0.6,0.014,0.095
50,90,20,40.0,31.0,1.32,9000,9000,0.47,7210 BECBPH,-,50,65.7,57.6,75.2,-,1.1,0.6,39.0,57.0,-,83.0,85.0,1.0,0.6,0.014,0.095
50,90,20,40.0,31.0,1.32,9000,11000,0.47,7210 BECBM,-,50,65.7,57.6,75.2,-,1.1,0.6,39.0,57.0,-,83.0,85.0,1.0,0.6,0.014,0.095
50,90,20,41.5,33.5,1.4,9000,9000,0.47,7210 BECBY,-,50,65.7,57.6,75.2,-,1.1,0.6,39.0,57.0,-,83.0,85.0,1.0,0.6,0.015,0.095
50,90,20,45.5,35.5,1.5,9500,14000,0.47,7210 ACCBM,-,50,65.6,57.6,75.1,-,1.1,0.6,26.0,57.0,-,83.0,85.0,1.0,0.6,0.00584,0.095
50,110,27,68.9,47.5,2.0,7500,6000,1.2,-,7310 BE-2RZP,50,73.8,61.1,91.6,101,2.0,1.0,47.0,61.0,73,99.0,104.0,2.0,1.0,0.0418,0.1
50,110,27,75.0,51.0,2.16,7500,8000,1.1,7310 BECBP,-,50,73.8,61.1,88.8,-,2.0,1.0,47.0,61.0,-,99.0,104.0,2.0,1.0,0.0418,0.1
50,110,27,75.0,51.0,2.16,7500,8000,1.1,7310 BEGAPH,-,50,73.8,61.1,88.8,-,2.0,1.0,47.0,61.0,-,99.0,104.0,2.0,1.0,0.0418,0.1
50,110,27,75.0,51.0,2.16,7500,10000,1.1,7310 BECBM,-,50,73.8,61.1,88.8,-,2.0,1.0,47.0,61.0,-,99.0,104.0,2.0,1.0,0.0418,0.1
50,110,27,78.0,56.0,2.36,7500,8000,1.15,7310 BECBY,-,50,73.8,61.1,88.8,-,2.0,1.0,47.0,61.0,-,99.0,104.0,2.0,1.0,0.0456,0.1
50,110,27,83.0,57.0,2.4,8000,12000,1.1,7310 ACCBM,-,50,73.6,61.1,88.4,-,2.0,1.0,32.0,61.0,-,99.0,104.0,2.0,1.0,0.017,0.1
55,100,21,46.2,36.0,1.53,8000,6300,0.62,-,7211 BE-2RZP,55,72.5,63.6,85.1,94.3,1.5,1.0,43.0,64.0,72,91.0,94.0,1.5,1.0,0.022,0.095
55,100,21,46.2,36.0,1.53,8000,7500,0.62,-,7211 BEP,55,72.5,63.6,83.7,-,1.5,1.0,43.0,64.0,-,91.0,94.0,1.5,1.0,0.022,0.095
55,100,21,49.0,40.0,1.66,8000,8000,0.62,7211 BECBP,-,55,72.4,63.6,83.7,-,1.5,1.0,43.0,64.0,-,91.0,94.0,1.5,1.0,0.022,0.095
55,100,21,49.0,40.0,1.66,8000,8000,0.62,7211 BECBPH,-,55,72.4,63.6,83.7,-,1.5,1.0,43.0,64.0,-,91.0,94.0,1.5,1.0,0.022,0.095
55,100,21,49.0,40.0,1.66,8000,10000,0.62,7211 BECBM,-,55,72.4,63.6,83.7,-,1.5,1.0,43.0,64.0,-,91.0,94.0,1.5,1.0,0.022,0.095
55,100,21,51.0,42.5,1.8,8000,8000,0.62,7211 BECBY,-,55,72.4,63.6,83.7,-,1.5,1.0,43.0,64.0,-,91.0,94.0,1.5,1.0,0.0235,0.095
55,100,21,57.0,45.0,1.9,8500,12000,0.62,7211 ACCBM,-,55,72.6,63.6,83.2,-,1.5,1.0,28.0,64.0,-,91.0,94.0,1.5,1.0,0.00917,0.095
55,120,29,79.3,55.0,2.32,7000,6700,1.4,-,7311 BEP,55,80.3,66.6,96.6,-,2.0,1.0,51.0,66.0,-,109.0,114.0,2.0,1.0,0.0574,0.1
55,120,29,85.0,60.0,2.55,7000,7000,1.4,7311 BECBP,-,55,80.3,66.6,96.6,-,2.0,1.0,51.0,66.0,-,109.0,114.0,2.0,1.0,0.0574,0.1
55,120,29,85.0,60.0,2.55,7000,7000,1.4,7311 BECBPH,-,55,80.3,66.6,96.6,-,2.0,1.0,51.0,66.0,-,109.0,114.0,2.0,1.0,0.0574,0.1
55,120,29,85.0,60.0,2.55,7000,9000,1.4,7311 BECBM,-,55,80.3,66.6,96.6,-,2.0,1.0,51.0,66.0,-,109.0,114.0,2.0,1.0,0.0574,0.1
55,120,29,90.0,65.5,2.75,7000,7000,1.4,7311 BECBY,-,55,80.3,66.6,96.6,-,2.0,1.0,51.0,66.0,-,109.0,114.0,2.0,1.0,0.0627,0.1
55,120,29,96.5,67.0,2.85,7500,11000,1.4,7311 ACCBM,-,55,80.1,66.6,96.2,-,2.0,1.0,34.0,66.0,-,109.0,114.0,2.0,1.0,0.0234,0.1
60,110,22,57.2,45.5,1.93,7000,7000,0.8,-,7212 BEP,60,79.6,69.3,91.6,-,1.5,1.0,47.0,69.0,-,101.0,104.0,1.5,1.0,0.0344,0.095
60,110,22,61.0,50.0,2.12,7000,7500,0.8,7212 BECBP,-,60,79.6,69.3,91.6,-,1.5,1.0,47.0,69.0,-,101.0,104.0,1.5,1.0,0.0344,0.095
60,110,22,61.0,50.0,2.12,7000,7500,0.8,7212 BECBPH,-,60,79.6,69.3,91.6,-,1.5,1.0,47.0,69.0,-,101.0,104.0,1.5,1.0,0.0344,0.095
60,110,22,61.0,50.0,2.12,7000,7500,0.8,7212 BECBY,-,60,79.6,69.3,91.6,-,1.5,1.0,47.0,69.0,-,101.0,104.0,1.5,1.0,0.0344,0.095
60,110,22,61.0,50.0,2.12,7000,9500,0.8,7212 BECBM,-,60,79.6,69.3,91.6,-,1.5,1.0,46.0,69.0,-,101.0,104.0,1.5,1.0,0.0344,0.095
60,110,22,69.5,56.0,2.36,8000,11000,0.8,7212 ACCBM,-,60,79.5,69.2,91.5,-,1.5,1.0,30.0,69.0,-,101.0,104.0,1.5,1.0,0.0143,0.095
60,130,31,95.6,69.5,3.0,6300,6000,1.75,-,7312 BEP,60,87.2,72.6,105.0,-,2.1,1.1,55.0,72.0,-,118.0,123.0,2.0,1.0,0.0846,0.1
60,130,31,104.0,76.5,3.2,6300,6700,1.75,7312 BECBP,-,60,87.2,72.6,105.0,-,2.1,1.1,55.0,72.0,-,118.0,123.0,2.0,1.0,0.0846,0.1
