d,D,B,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,F,r12_min,s_max,da_min,Da_max,ra_max
55,80,45,-,89.7,190.0,23.2,6300,7000,0.78, NA 6911,55,63,1.0,1.5,60.0,75.0,1.0
55,85,28,-,66.0,114.0,14.6,6000,6700,0.56,NKIS 55,55,65,1.1,2.0,61.5,78.5,1.0
60,82,25,-,44.0,95.0,11.8,6000,6700,0.39, NKI 60/25,60,68,0.6,1.0,64.0,78.0,0.6
60,82,35,-,60.5,146.0,18.3,6000,6700,0.55, NKI 60/35,60,68,0.6,1.0,64.0,78.0,0.6
60,85,25,-,60.5,114.0,14.3,6000,6700,0.43, NA 4912,60,68,1.0,1.5,65.0,80.0,1.0
60,85,45,-,93.5,204.0,25.0,6000,6700,0.81, NA 6912,60,68,1.0,1.5,65.0,80.0,1.0
60,90,28,-,68.2,120.0,15.3,5600,6300,0.56, NKIS 60,60,70,1.1,2.0,66.5,83.5,1.0
65,90,25,-,52.8,106.0,13.2,5600,6300,0.46,NKI 65/25,65,73,1.0,1.0,70.0,85.0,1.0
65,90,25,-,61.6,120.0,14.6,5600,6300,0.46, NA 4913,65,72,1.0,1.5,70.0,85.0,1.0
65,90,35,-,73.7,163.0,20.4,5600,6300,0.66, NKI 65/35,65,73,1.0,1.0,70.0,85.0,1.0
65,90,45,-,95.2,212.0,26.0,5600,6300,0.83, NA 6913,65,72,1.0,1.5,70.0,85.0,1.0
65,95,28,-,70.4,132.0,16.6,5300,6000,0.64, NKIS 65,65,75,1.1,2.0,71.5,88.5,1.0
70,95,25,-,56.1,127.0,15.6,5000,5600,0.51,NKI 70/25,70,80,1.0,0.8,75.0,90.0,1.0
70,95,35,-,76.5,190.0,24.0,5000,5600,0.72, NKI 70/35,70,80,1.0,0.8,75.0,90.0,1.0
70,100,30,-,84.2,163.0,20.8,5000,5600,0.73, NA 4914,70,80,1.0,1.5,75.0,95.0,1.0
70,100,54,-,128.0,285.0,36.0,5000,5600,1.35, NA 6914,70,80,1.0,1.0,75.0,95.0,1.0
75,105,25,-,69.3,132.0,16.6,4800,5300,0.64, NKI 75/25,75,85,1.0,1.0,80.0,100.0,1.0
75,105,30,-,84.2,170.0,21.6,4800,5300,0.78, NA 4915,75,85,1.0,1.5,80.0,100.0,1.0
75,105,35,-,96.8,200.0,26.0,4800,5300,0.91, NKI 75/35,75,85,1.0,1.0,80.0,100.0,1.0
75,105,54,-,130.0,290.0,37.5,4800,5300,1.45, NA 6915,75,85,1.0,1.0,80.0,100.0,1.0
80,110,25,-,72.1,140.0,18.0,4500,5000,0.68, NKI 80/25,80,90,1.0,1.0,85.0,105.0,1.0
80,110,30,-,88.0,183.0,23.2,4500,5000,0.88, NA 4916,80,90,1.0,1.5,85.0,105.0,1.0
80,110,35,-,101.0,216.0,28.0,4500,5000,0.96, NKI 80/35,80,90,1.0,1.0,85.0,105.0,1.0
80,110,54,-,134.0,315.0,40.0,4500,5000,1.5, NA 6916,80,90,1.0,1.0,85.0,105.0,1.0
85,115,26,-,73.7,146.0,18.6,4300,4800,0.74, NKI 85/26,85,95,1.0,1.5,90.0,110.0,1.0
85,115,36,-,105.0,232.0,30.0,4300,4800,1.05, NKI 85/36,85,95,1.0,1.5,90.0,110.0,1.0
85,120,35,-,108.0,250.0,31.0,4000,4500,1.25, NA 4917,85,100,1.1,1.0,91.5,113.5,1.0
85,120,63,-,165.0,425.0,53.0,4000,4500,2.2, NA 6917,85,100,1.1,1.0,91.5,113.5,1.0
90,120,26,-,76.5,156.0,19.6,4000,4500,0.78, NKI 90/26,90,100,1.0,1.5,95.0,115.0,1.0
90,120,36,-,108.0,250.0,31.0,4000,4500,1.1, NKI 90/36,90,100,1.0,1.5,95.0,115.0,1.0
90,125,35,-,112.0,265.0,32.5,3800,4300,1.3, NA 4918,90,105,1.1,1.0,96.5,118.5,1.0
90,125,63,-,172.0,450.0,55.0,3800,4300,2.3, NA 6918,90,105,1.1,1.0,96.5,118.5,1.0
95,125,26,-,78.1,166.0,20.4,3800,4300,0.82, NKI 95/26,95,105,1.0,1.5,100.0,120.0,1.0
95,125,36,-,112.0,265.0,32.5,3800,4300,1.15,NKI 95/36,95,105,1.0,1.5,100.0,120.0,1.0
95,130,35,-,114.0,270.0,33.5,3600,4000,1.35, NA 4919,95,110,1.1,1.0,101.5,123.5,1.0
95,130,63,-,172.0,465.0,56.0,3600,4000,2.5, NA 6919,95,110,1.1,1.0,101.5,123.5,1.0
100,130,30,-,96.8,220.0,27.0,3600,4000,0.99, NKI 100/30,100,110,1.1,1.5,106.5,123.5,1.0
100,130,40,-,123.0,305.0,37.5,3600,4000,1.35, NKI 100/40,100,110,1.1,2.0,106.5,123.5,1.0
