ID,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_offen_oder_beidseitig_abgedichtet,Kurzzeichen_einseitig_abgedichtet,d.1,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
86,10,26,8.0,4.75,1.96,0.083,67000,34000,0.019,6000-2RSL,6000-RSL,10,-,12.5,-,22.6,0.3,12.0,12.5,24.0,0.3,0.025,12.0,
87,10,26,8.0,4.75,1.96,0.083,67000,34000,0.02,6000-2Z,6000-Z,10,14.8,-,-,22.6,0.3,12.0,14.7,24.0,0.3,0.025,12.0,
88,10,26,12.0,4.62,1.96,0.083,-,19000,0.025,63000-2RS1,-,10,14.8,-,-,22.6,0.3,12.0,14.7,24.0,0.3,0.025,12.0,
89,10,28,8.0,5.07,2.36,0.1,60000,30000,0.026,16100-2Z,-,10,17,-,-,24.8,0.3,14.2,16.6,23.8,0.3,0.025,13.0,
90,10,28,8.0,5.07,2.36,0.1,60000,38000,0.024,16100,-,10,17,-,-,24.8,0.3,14.2,-,23.8,0.3,0.025,13.0,
91,10,30,9.0,5.4,2.36,0.1,56000,36000,0.031,6200,-,10,17,-,-,24.8,0.6,14.2,-,25.8,0.6,0.025,13.0,
92,10,30,9.0,5.4,2.36,0.1,-,17000,0.032,6200-2RSH,6200-RSH,10,-,15,-,24.8,0.6,14.2,15,25.8,0.6,0.025,13.0,
93,10,30,9.0,5.4,2.36,0.1,56000,28000,0.032,6200-2RSL,6200-RSL,10,-,15,-,24.8,0.6,14.2,15,25.8,0.6,0.025,13.0,
94,10,30,9.0,5.4,2.36,0.1,56000,28000,0.034,6200-2Z,6200-Z,10,17,-,-,24.8,0.6,14.2,16.9,25.8,0.6,0.025,13.0,
95,10,30,14.0,5.07,2.36,0.1,-,17000,0.04,62200-2RS1,-,10,17,-,-,24.8,0.6,14.2,16.9,25.8,0.6,0.025,13.0,
96,10,35,11.0,8.52,3.4,0.143,50000,32000,0.053,6300,-,10,17.5,-,-,28.7,0.6,14.2,-,30.8,0.6,0.03,11.0,
97,10,35,11.0,8.52,3.4,0.143,-,15000,0.054,6300-2RSH,6300-RSH,10,-,15.5,-,28.7,0.6,14.2,15.5,30.8,0.6,0.03,11.0,
98,10,35,11.0,8.52,3.4,0.143,50000,26000,0.053,6300-2RSL,6300-RSL,10,-,15.5,-,28.7,0.6,14.2,15.5,30.8,0.6,0.03,11.0,
99,10,35,11.0,8.52,3.4,0.143,50000,26000,0.055,6300-2Z,6300-Z,10,17.5,-,-,28.7,0.6,14.2,17.4,30.8,0.6,0.03,11.0,
100,10,35,17.0,8.06,3.4,0.143,-,15000,0.06,62300-2RS1,-,10,17.5,-,-,28.7,0.6,14.2,17.4,30.8,0.6,0.03,11.0,
101,12,21,5.0,1.74,0.915,0.039,-,20000,0.0063,61801-2RS1,-,12,-,14.1,-,19,0.3,13.6,13.8,19.0,0.3,0.015,13.0,
